module,execution_time (sec),success,timestamp,error,error_short
cowidev.vax.incremental.kyrgyzstan,0.93,False,2023-11-06T07:04:05,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/indexes/base.py"", line 3361, in get_loc
    return self._engine.get_loc(casted_key)
  File ""pandas/_libs/index.pyx"", line 76, in pandas._libs.index.IndexEngine.get_loc
  File ""pandas/_libs/index.pyx"", line 108, in pandas._libs.index.IndexEngine.get_loc
  File ""pandas/_libs/hashtable_class_helper.pxi"", line 5198, in pandas._libs.hashtable.PyObjectHashTable.get_item
  File ""pandas/_libs/hashtable_class_helper.pxi"", line 5206, in pandas._libs.hashtable.PyObjectHashTable.get_item
KeyError: 'total_vaccinations'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/kyrgyzstan.py"", line 61, in main
    Kyrgyzstan().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/kyrgyzstan.py"", line 51, in export
    total_vaccinations=int(data[""total_vaccinations""]),
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/series.py"", line 942, in __getitem__
    return self._get_value(key)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/series.py"", line 1051, in _get_value
    loc = self.index.get_loc(label)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/indexes/base.py"", line 3363, in get_loc
    raise KeyError(key) from err
KeyError: 'total_vaccinations'
",'total_vaccinations'
cowidev.vax.incremental.laos,3.7,True,2023-11-06T07:00:17,,
cowidev.vax.incremental.macao,,,2023-11-06T07:00:13,,
cowidev.vax.incremental.moldova,,,2023-11-06T07:00:13,,
cowidev.vax.incremental.monaco,40.85,True,2023-11-06T07:00:54,,
cowidev.vax.incremental.mongolia,1.84,True,2023-11-06T07:00:15,,
cowidev.vax.incremental.montenegro,0.36,True,2023-11-06T07:00:14,,
cowidev.vax.incremental.morocco,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.myanmar,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.nepal,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.north_macedonia,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.northern_cyprus,2.07,True,2023-11-06T07:00:16,,
cowidev.vax.incremental.paho,88.99,False,2023-11-06T07:05:34,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/paho.py"", line 195, in main
    PAHO().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/paho.py"", line 190, in export
    df = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/generic.py"", line 5430, in pipe
    return com.pipe(self, func, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/common.py"", line 471, in pipe
    return func(obj, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/paho.py"", line 167, in pipeline
    df.pipe(self.pipe_check_columns)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/generic.py"", line 5430, in pipe
    return com.pipe(self, func, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/common.py"", line 471, in pipe
    return func(obj, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/paho.py"", line 122, in pipe_check_columns
    raise ValueError(f""Missing column fields: {columns_missing}. Present columns are: {df.columns}"")
ValueError: Missing column fields: {'Country code', 'Total doses', '2nd additional dose', 'Single dose', 'Second dose', 'First dose', '1st additional dose', 'Country/ Territory'}. Present columns are: Index(['date,location,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_interpolated,new_people_vaccinated_interpolated,new_vaccinations_smoothed,new_people_vaccinated_smoothed', 'date'], dtype='object')
","Missing column fields: {'Country code', 'Total doses', '2nd additional dose', 'Single dose', 'Second dose', 'First dose', '1st additional dose', 'Country/ Territory'}. Present columns are: Index(['date,location,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_interpolated,new_people_vaccinated_interpolated,new_vaccinations_smoothed,new_people_vaccinated_smoothed', 'date'], dtype='object')"
cowidev.vax.incremental.pakistan,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.philippines,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.poland,1.04,True,2023-11-06T07:00:15,,
cowidev.vax.incremental.qatar,,,2023-11-06T07:00:14,,
cowidev.vax.incremental.russia,27.26,True,2023-11-06T07:00:42,,
cowidev.vax.incremental.saint_lucia,,,2023-11-06T07:00:15,,
cowidev.vax.incremental.serbia,5.42,True,2023-11-06T07:00:21,,
cowidev.vax.incremental.south_africa,,,2023-11-06T07:00:15,,
cowidev.vax.incremental.spain,13.77,True,2023-11-06T07:00:29,,
cowidev.vax.incremental.sri_lanka,,,2023-11-06T07:00:15,,
cowidev.vax.incremental.suriname,19.75,True,2023-11-06T07:00:35,,
cowidev.vax.incremental.taiwan,14.36,False,2023-11-06T07:05:49,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/taiwan.py"", line 183, in main
    Taiwan().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/taiwan.py"", line 169, in export
    data = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/taiwan.py"", line 39, in read
    df = self._parse_table(url_pdf)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/taiwan.py"", line 69, in _parse_table
    raise ValueError(f""Table 1: format has changed! It has shape {df.shape} instead of {shape_expected}"")
ValueError: Table 1: format has changed! It has shape (1, 3) instead of (44, 4)
","Table 1: format has changed! It has shape (1, 3) instead of (44, 4)"
cowidev.vax.incremental.thailand,4.74,True,2023-11-06T07:00:21,,
cowidev.vax.incremental.turkey,,,2023-11-06T07:00:17,,
cowidev.vax.incremental.united_arab_emirates,,,2023-11-06T07:00:17,,
cowidev.vax.incremental.vietnam,,,2023-11-06T07:00:17,,
cowidev.vax.incremental.who,4.51,True,2023-11-06T07:00:21,,
cowidev.vax.incremental.zambia,0.94,True,2023-11-06T07:00:18,,
